NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
CITIZENS SCHOOL OF NURSING,651 FOURTH AVENUE,NEW KENSINGTON,PA,15068,185,WESTMORELAND,42129,USA,40.56150903,-79.7664745
DEAN INSTITUTE OF TECHNOLOGY,1501 W LIBERTY AVE,PITTSBURGH,PA,15226,175,ALLEGHENY,42003,USA,40.4101539,-80.01550236
DELAWARE VALLEY UNIVERSITY,700 E BUTLER AVE,DOYLESTOWN,PA,18901,2971,BUCKS,42017,USA,40.29794135,-75.15830908
LINCOLN TECHNICAL INSTITUTE-ALLENTOWN,5151 TILGHMAN ST,ALLENTOWN,PA,18104,493,LEHIGH,42077,USA,40.59190826,-75.568979
MARYWOOD UNIVERSITY,2300 ADAMS AVE,SCRANTON,PA,18509,3726,LACKAWANNA,42069,USA,41.43458732,-75.63414193
MISERICORDIA UNIVERSITY,301 LAKE ST,DALLAS,PA,18612,3322,LUZERNE,42079,USA,41.34527736,-75.97154106
MUHLENBERG COLLEGE,2400 CHEW STREET,ALLENTOWN,PA,18104,3170,LEHIGH,42077,USA,40.59747658,-75.50828284
NORTHAMPTON COUNTY AREA COMMUNITY COLLEGE,3835 GREEN POND RD,BETHLEHEM,PA,18020,11613,NORTHAMPTON,42095,USA,40.67253038,-75.3235095
ST LUKES HOSPITAL SCHOOL OF NURSING,801 OSTRUM STREET,BETHLEHEM,PA,18015,222,LEHIGH,42077,USA,40.60850465,-75.39319056
TRINITY EPISCOPAL SCHOOL FOR MINISTRY,311 ELEVENTH ST,AMBRIDGE,PA,15003,295,BEAVER,42007,USA,40.59340325,-80.23017838
WELDER TRAINING AND TESTING INSTITUTE,729 E. HIGHLAND STREET,ALLENTOWN,PA,18109,86,LEHIGH,42077,USA,40.62646949,-75.4472635
YESHIVATH BETH MOSHE,930 HICKORY ST,SCRANTON,PA,18505,60,LACKAWANNA,42069,USA,41.39483271,-75.65617693
THE UNIVERSITY OF TEXAS AT SAN ANTONIO,ONE UTSA CIRCLE,SAN ANTONIO,TX,78249,34670,BEXAR,48029,USA,29.5824179,-98.62138639
NATIONAL INSTITUTE OF MASSOTHERAPY,3681 MANCHESTER RD.,AKRON,OH,44319,-999,SUMMIT,39153,USA,40.99975489,-81.55726408
ITT TECHNICAL INSTITUTE-STRONGSVILLE,14955 SPRAGUE RD,STRONGSVILLE,OH,44136,-999,CUYAHOGA,39035,USA,41.34982408,-81.80745427
FRONT RANGE COMMUNITY COLLEGE,3645 W 112TH AVE,WESTMINSTER,CO,80031,20698,ADAMS,8001,USA,39.90145207,-105.038068
AUGUSTA TECHNICAL COLLEGE,3200 AUGUSTA TECH DRIVE,AUGUSTA,GA,30906,5073,RICHMOND,13245,USA,33.41899249,-82.04843946
PRO WAY HAIR SCHOOL,5684 MEMORIAL DR,STONE MOUNTAIN,GA,30083,202,DEKALB,13089,USA,33.80180151,-84.2051828
SOUTH UNIVERSITY-SAVANNAH,709 MALL BLVD,SAVANNAH,GA,31406,1431,CHATHAM,13051,USA,31.99957126,-81.10543525
GEORGIA SOUTHWESTERN STATE UNIVERSITY,800 GEORGIA SOUTHWESTERN STATE UNIVERSITY DR.,AMERICUS,GA,31709,3426,SUMTER,13261,USA,32.058198,-84.217755
